,2025-Q1
0,ELP
1,PAM
2,PRDO
3,UGI
4,OPFI
5,KEP
6,REPX
7,SIM
8,CMCL
9,NWE
10,USNA
11,HDSN
12,DDI
13,DAVE
14,HESM
15,NTES
16,SNES
17,FRD
18,ZEUS
19,NWN
20,UFPI
21,INUV
22,MGY
23,BSM
24,EOG
25,PR
26,ZVIA
27,APEI
28,RMAX
29,BKH
30,ED
31,MED
32,CMT
33,TPL
34,IMKTA
35,LAW
36,USLM
37,SLQT
38,MAPS
39,LOPE
40,PYPL
41,OGS
42,ACU
43,RELY
44,NRDY
45,IPI
46,VRA
47,TBI
48,BCC
49,BKTI
50,TACT
51,NOG
52,UHS
53,SM
54,YELP
55,SONO
56,NUS
57,LOVE
58,FANG
59,WES
60,ZETA
61,PBR
62,CNX
63,KFY
64,KGEI
65,DHX
66,STNG
67,RGP
68,GIC
69,HST
70,CHCI
71,MOV
72,CGNT
73,DLTH
74,FIGS
75,DAIO
76,APA
77,WMK
78,SEMR
79,CCLD
80,CALX
81,CIVI
82,VMD
83,CTRE
84,GDOT
85,ARLO
86,ASM
87,HIMS
88,AUDC
89,MHH
90,CTRA
91,SPT
92,CCRD
93,GPOR
94,NAGE
95,ANF
96,FORR
97,GIII
98,EVER
99,TPB
